X,Y,Z
331,296,34
282,308,35
308,301,45
281,325,34
441,337,34
273,343,35
234,348,35
294,353,35
247,368,34
155,68,36
187,93,37
156,113,36
202,125,38
264,134,36
422,140,41
229,133,34
465,142,35
407,168,37
355,172,39
404,176,37
174,176,37
424,201,38
270,204,38
183,211,38
415,216,35
181,219,35
236,236,36
493,244,36
365,245,35
265,287,41
314,291,44
299,305,43
220,298,37
497,301,37
215,313,34
224,317,35
270,333,37
256,348,41
343,356,37
362,37,36
474,85,35
266,92,35
170,132,37
280,148,37
195,155,41
253,157,39
217,160,44
246,170,38
206,172,38
416,194,38
303,206,42
382,213,39
246,223,41
418,237,36
248,246,36
329,241,41
356,258,43
260,276,37
358,275,37
196,281,37
375,294,36
219,328,44
241,341,38
291,344,37
308,358,38
295,362,37
195,64,39
229,72,37
284,95,38
428,96,40
220,115,37
419,121,38
363,127,39
155,141,38
213,142,40
195,145,38
161,153,38
414,159,38
370,166,41
416,169,38
357,179,38
350,180,37
458,185,39
119,203,37
134,208,38
411,209,40
427,212,37
439,215,38
444,223,38
187,224,40
321,251,41
174,260,38
307,279,38
228,288,37
330,288,41
221,308,41
260,316,46
413,328,37
265,355,39
281,366,37
406,390,38
466,46,38
224,97,39
171,124,40
402,134,39
171,143,44
429,149,39
342,171,43
245,186,38
392,194,44
159,201,40
173,209,38
316,229,40
382,230,38
307,250,41
184,275,39
284,276,43
256,294,43
181,292,41
311,296,38
176,303,39
272,309,46
272,320,39
301,325,40
314,323,40
323,328,40
258,338,39
266,365,40
191,67,40
229,97,39
332,112,39
217,128,45
438,146,39
267,150,43
308,148,43
424,153,40
260,163,40
254,167,40
376,170,39
232,190,41
205,187,46
143,198,41
148,216,40
205,210,42
271,233,40
187,228,46
422,236,40
359,241,43
420,240,41
215,250,42
376,252,41
184,256,41
222,291,42
188,301,41
288,306,41
204,307,39
194,310,39
229,341,39
306,341,41
419,359,41
409,373,40
273,58,41
229,89,40
277,130,42
162,168,40
166,173,44
156,178,47
163,183,41
262,195,42
144,212,40
238,237,46
261,243,43
191,255,46
365,254,48
339,270,43
222,285,40
305,289,42
321,307,43
366,308,42
327,317,41
183,324,40
358,44,42
419,51,41
486,67,41
368,73,43
251,100,41
309,101,42
342,127,41
356,129,41
146,129,41
458,132,41
342,152,43
240,173,43
361,225,47
222,243,47
193,235,51
165,243,42
178,246,45
168,261,42
162,270,41
219,271,43
182,270,46
198,303,43
207,307,41
408,308,41
464,311,41
288,315,42
261,331,42
299,334,43
425,47,42
185,80,42
161,102,43
176,112,44
240,115,42
241,159,45
225,171,44
171,184,47
425,189,43
353,201,42
179,206,45
343,209,50
166,229,45
338,280,45
294,284,42
178,287,42
171,288,43
285,298,45
223,300,42
341,312,48
285,327,44
194,323,42
248,344,43
221,347,44
333,351,43
452,50,43
320,85,43
323,92,43
244,141,44
333,148,43
232,154,43
180,156,44
259,159,45
304,172,43
181,176,43
306,196,46
347,204,44
384,230,45
154,253,45
197,267,47
158,275,44
301,283,46
214,281,44
364,293,44
206,325,44
306,333,47
206,346,44
400,90,45
452,111,44
155,127,44
215,136,44
260,142,45
390,144,46
393,156,44
268,164,45
258,180,46
146,181,47
431,188,44
263,191,44
162,191,45
402,198,46
392,227,43
391,232,44
293,236,45
148,248,46
286,247,47
240,254,48
428,250,46
158,254,47
330,271,47
350,274,47
224,287,43
333,318,46
315,321,49
354,336,47
346,350,45
95,23,47
427,75,45
228,137,47
150,143,45
137,149,45
406,163,45
409,166,46
412,170,46
230,178,45
454,178,46
152,194,45
348,198,45
255,236,45
255,250,48
208,257,50
308,273,47
228,283,47
217,295,46
348,314,50
337,329,44
254,332,46
251,340,49
236,345,45
75,420,45
115,6,46
230,103,48
362,107,45
178,123,47
415,124,45
452,126,47
237,189,47
241,196,47
313,226,49
388,238,46
366,246,47
357,249,53
324,296,49
352,328,47
278,342,48
236,349,45
273,374,47
367,429,46
104,15,47
252,93,47
316,106,47
226,160,46
172,164,47
243,176,49
295,182,50
156,190,47
198,207,47
351,240,47
176,256,48
377,267,49
385,267,48
366,277,49
253,291,50
269,349,51
212,53,49
411,86,48
314,110,49
224,114,47
311,124,48
338,159,48
328,162,48
187,175,49
270,182,54
280,190,51
374,216,48
264,243,50
350,249,48
378,251,48
332,256,51
284,261,50
160,269,49
217,281,50
281,287,50
356,298,49
296,326,49
268,337,49
427,13,51
335,87,52
347,87,49
343,135,50
436,144,51
441,142,49
205,149,54
324,171,51
336,174,49
373,203,50
318,207,50
158,223,49
212,229,51
175,231,51
312,241,53
245,336,49
224,110,49
123,126,51
217,153,51
156,168,51
327,189,52
274,224,52
173,290,50
362,302,51
234,4,51
414,21,50
172,26,52
423,61,54
411,82,54
294,93,51
498,94,52
426,114,52
222,158,52
207,168,50
178,211,51
145,214,51
238,223,51
200,228,52
354,318,51
281,333,55
494,356,51
421,359,51
439,370,52
420,28,53
328,108,53
253,119,53
196,122,52
326,133,53
321,166,52
421,198,52
347,214,52
283,224,53
422,238,53
181,270,52
181,300,53
199,308,53
336,325,54
157,326,52
340,60,54
94,60,53
453,74,53
106,100,53
226,119,53
176,121,53
217,125,53
301,147,53
341,168,53
451,190,53
402,190,53
400,197,53
292,221,56
203,234,53
242,234,54
222,237,57
206,239,53
200,329,53
473,61,54
338,101,57
216,120,56
413,151,55
249,157,54
430,194,54
490,210,55
322,230,54
331,243,54
302,287,54
204,286,55
229,303,54
204,316,55
502,328,54
220,363,56
339,51,58
471,68,56
265,104,57
347,107,58
414,139,56
244,168,55
225,173,56
176,175,57
324,233,55
243,238,55
349,242,54
356,275,58
314,288,58
266,303,55
330,305,55
239,338,56
330,10,57
266,110,57
266,119,59
292,121,56
363,125,59
243,126,57
315,136,57
450,146,57
173,154,58
435,161,57
278,171,57
151,179,56
314,181,60
175,229,57
277,265,58
283,274,57
162,278,57
475,37,58
279,48,57
315,77,57
341,79,58
164,84,57
286,150,58
176,200,58
263,253,57
370,274,61
35,287,58
207,315,57
279,354,60
341,17,59
384,44,58
404,73,59
324,128,59
384,140,58
381,149,58
376,191,60
214,230,58
301,243,58
378,292,60
338,294,58
173,299,58
312,26,59
202,51,60
350,51,59
438,56,59
264,99,59
303,99,60
209,104,59
235,112,60
339,155,61
193,156,60
291,157,60
210,162,59
318,168,59
405,195,59
402,198,59
336,231,59
466,19,62
130,65,60
214,68,60
233,80,62
290,78,60
425,119,60
274,140,60
363,151,60
188,175,59
311,201,60
303,205,61
249,209,60
236,243,61
337,267,60
227,271,60
252,293,60
150,9,60
270,50,62
190,84,62
236,83,62
405,95,61
328,103,62
407,115,61
217,141,61
326,218,62
269,222,61
234,227,62
211,228,62
227,277,62
293,364,61
197,53,62
363,65,62
436,70,62
230,83,63
392,86,62
244,100,62
435,119,63
263,135,63
251,152,61
105,158,63
286,187,62
229,217,62
422,233,63
216,330,62
372,337,62
284,114,63
216,144,63
131,164,63
251,165,62
347,182,63
271,239,64
246,280,62
254,321,62
189,33,64
173,85,64
280,107,64
493,110,64
290,122,64
252,149,64
105,162,64
272,304,64
235,347,64
276,363,64
